variable,value,Label
M4,94,Never breastfed
M4,95,Still breastfeeding
M4,96,Breastfed until died
M4,97,Inconsistent
M4,98,Don't know
M42A,Variable Label,NA - During pregnancy: weighed
M42A,0,No
M42A,1,Yes
M42B,Variable Label,NA - During pregnancy: height measured
M42B,0,No
M42B,1,Yes
M42C,Variable Label,During pregnancy: blood pressure taken
M42C,0,No
M42C,1,Yes
M42D,Variable Label,During pregnancy: urine sample taken
M42D,0,No
M42D,1,Yes
M42E,Variable Label,During pregnancy: blood sample taken
M42E,0,No
M42E,1,Yes
M43,Variable Label,Told about pregnancy complications
M43,0,No
M43,1,Yes
M43,8,Don't know
M44,Variable Label,NA - Told where to go for pregnancy complications
M44,0,No
M44,1,Yes
M44,8,Don't know
M45,Variable Label,"During pregnancy, given or bought iron tablets/syrup"
M45,0,No
M45,1,Yes
M45,8,Don't know
M46,Variable Label,Days tablets or syrup taken
M46,0,Were not taken
M46,998,Don't know
M47,Variable Label,"NA - During pregnancy, had difficulty with daylight vision"
M47,0,No
M47,1,Yes
M47,8,Don't know
M48,Variable Label,"NA - During pregnancy, had difficulty with night blindness"
M48,0,No
M48,1,Yes
M48,8,Don't know
M49A,Variable Label,During pregnancy took: SP/fansidar for malaria
M49A,0,No
M49A,1,Yes
M49A,8,Don't know
M49B,Variable Label,During pregnancy took: chloroquine for malaria
M49B,0,No
M49B,1,Yes
M49B,8,Don't know
M49C,Variable Label,NA - During pregnancy took: CS drug for malaria
M49C,0,No
M49C,1,Yes
M49C,8,Don't know
M49D,Variable Label,NA - During pregnancy took: CS drug for malaria
M49D,0,No
M49D,1,Yes
M49D,8,Don't know
M49E,Variable Label,NA - During pregnancy took: CS drug for malaria
M49E,0,No
M49E,1,Yes
M49E,8,Don't know
M49F,Variable Label,NA - During pregnancy took: CS drug for malaria
M49F,0,No
M49F,1,Yes
M49F,8,Don't know
M49G,Variable Label,NA -During pregnancy took: CS drug for malaria
M49G,0,No
M49G,1,Yes
M49G,8,Don't know
M49X,Variable Label,During pregnancy took: other drug for malaria
M49X,0,No
M49X,1,Yes
M49X,8,Don't know
M49Y,Variable Label,During pregnancy took: no drug for malaria
M49Y,0,No
M49Y,1,"Yes, took no drug"
M49Y,8,Don't know
M49Z,Variable Label,During pregnancy took: don't know
M49Z,0,No
M49Z,1,Yes: don't know which drug taken
M49Z,8,Don't know
M5,Variable Label,Months of breastfeeding
M5,93,"Ever breastfed, not currently breastfeeding"
M5,94,Never breastfed
M5,97,Inconsistent
M5,98,Don't know
M50,Variable Label,Respondent's check up after delivery
M50,0,No
M50,1,Yes
M51,Variable Label,Respondent's checkup after deliver timing
M51,100,Zero hours
M51,101,1 Hours
M51,199,Hours missing
M51,200,0 Days
M51,201,1 Days
M51,299,Days missing
M51,301,1 Week
M51,399,Weeks missing
M51,998,Don't know
M52,Variable Label,Respondent's health professional checked up after delivery
M52,11,Doctor
M52,12,"Nurse, midwife"
M52,13,Community health officer / nurse
M52,21,Traditional birth attendant / TBA
M52,22,Village health volunteer
M52,23,Traditional health practitioner
M52,96,Other
M54,Variable Label,Received Vitamin A dose in first 2 months after delivery
M54,0,No
M54,1,Yes
M54,8,Don't know
M55A,Variable Label,"First 3 days, given milk (other than breast milk)"
M55A,0,No
M55A,1,Yes
M55B,Variable Label,"First 3 days, given plain water"
M55B,0,No
M55B,1,Yes
M55C,Variable Label,"First 3 days, given sugar/glucose water"
M55C,0,No
M55C,1,Yes
M55D,Variable Label,"First 3 days, given gripe water"
M55D,0,No
M55D,1,Yes
M55E,Variable Label,"First 3 days, given sugar/salt solution"
M55E,0,No
M55E,1,Yes
M55F,Variable Label,"First 3 days, given fruit juice"
M55F,0,No
M55F,1,Yes
M55G,Variable Label,"First 3 days, given infant formula"
M55G,0,No
M55G,1,Yes
M55H,Variable Label,"First 3 days, given tea/infusions"
M55H,0,No
M55H,1,Yes
M55I,Variable Label,"First 3 days, given honey"
M55I,0,No
M55I,1,Yes
M55J,Variable Label,"First 3 days, given coffee"
M55J,0,No
M55J,1,Yes
M55K,Variable Label,"NA - First 3 days, given country specific"
M55K,0,No
M55K,1,Yes
M55L,Variable Label,"NA - First 3 days, given country specific"
M55L,0,No
M55L,1,Yes
M55M,Variable Label,"NA - First 3 days, given country specific"
M55M,0,No
M55M,1,Yes
M55N,Variable Label,"NA - First 3 days, given country specific"
M55N,0,No
M55N,1,Yes
M55O,Variable Label,"NA - First 3 days, given country specific"
M55O,0,No
M55O,1,Yes
M55X,Variable Label,"First 3 days, given other"
M55X,0,No
M55X,1,Yes
M55Z,Variable Label,"First 3 days, given nothing"
M55Z,0,No: given something
M55Z,1,Yes: given nothing
M57A,Variable Label,Antenatal care: respondent's home
M57A,0,No
M57A,1,Yes
M57B,Variable Label,Antenatal care: other home
M57B,0,No
M57B,1,Yes
M57C,Variable Label,NA - Antenatal care: CS home
M57C,0,No
M57C,1,Yes
M57D,Variable Label,NA - Antenatal care: CS home
M57D,0,No
M57D,1,Yes
M57E,Variable Label,Antenatal care: government hospital
M57E,0,No
M57E,1,Yes
M57F,Variable Label,Antenatal care: government health center/clinic
M57F,0,No
M57F,1,Yes
M57G,Variable Label,Antenatal care: government health post/CHPS
M57G,0,No
M57G,1,Yes
M57H,Variable Label,Antenatal care: mobile clinic
M57H,0,No
M57H,1,Yes
M57I,Variable Label,NA - Antenatal care: CS public health
M57I,0,No
M57I,1,Yes
M57J,Variable Label,NA - Antenatal care: CS public health
M57J,0,No
M57J,1,Yes
M57K,Variable Label,NA - Antenatal care: CS public health
M57K,0,No
M57K,1,Yes
M57L,Variable Label,Antenatal care: other public
M57L,0,No
M57L,1,Yes
M57M,Variable Label,Antenatal care: private hospital/clinic
M57M,0,No
M57M,1,Yes
M57N,Variable Label,Antenatal care: FP/PPAG clinic
M57N,0,No
M57N,1,Yes
M57O,Variable Label,Antenatal care: mobile clinic
M57O,0,No
M57O,1,Yes
M57P,Variable Label,Antenatal care: maternity home
M57P,0,No
M57P,1,Yes
M57Q,Variable Label,NA - Antenatal care: CS private medical
M57Q,0,No
M57Q,1,Yes
M57R,Variable Label,Antenatal care: other private
M57R,0,No
M57R,1,Yes
M57S,Variable Label,NA - Antenatal care: CS other
M57S,0,No
M57S,1,Yes
M57T,Variable Label,NA - Antenatal care: CS other
M57T,0,No
M57T,1,Yes
M57U,Variable Label,NA - Antenatal care: CS other
M57U,0,No
M57U,1,Yes
M57V,Variable Label,NA - Antenatal care: CS other
M57V,0,No
M57V,1,Yes
M57X,Variable Label,Antenatal care: other
M57X,0,No
M57X,1,Yes
M6,Variable Label,Duration of amenorrhea
M6,96,Period not returned
M6,97,Inconsistent
M6,98,Don't know
M60,Variable Label,Drugs for intestinal parasites during pregnancy
M60,0,No
M60,1,Yes
M60,8,Don't know
M61,Variable Label,Time spent at place of delivery
M61,100,Hours: 0
M61,101,Hours: 1
M61,199,Hours: number missing
M61,201,Days: 1
M61,299,Days: number missing
M61,301,Weeks: 1
M61,399,Weeks: number missing
M61,998,Don't know
M62,Variable Label,Respondent's health checked before discharge
M62,0,No
M62,1,Yes
M62,8,Don't know
M65A,Variable Label,NA - Reason didn't deliver at health facility: cost too much
M65A,0,No
M65A,1,Yes
M65B,Variable Label,NA - Reason didn't deliver at health facility: facility not open
M65B,0,No
M65B,1,Yes
M65C,Variable Label,NA - Reason didn't deliver at health facility: too far/no transport
M65C,0,No
M65C,1,Yes
M65D,Variable Label,NA - Reason didn't deliver at health facility: don't trust facility/poor service
M65D,0,No
M65D,1,Yes
M65E,Variable Label,NA - Reason didn't deliver at health facility: no female provider
M65E,0,No
M65E,1,Yes
M65F,Variable Label,NA - Reason didn't deliver at health facility: husband/family didn't allow
M65F,0,No
M65F,1,Yes
M65G,Variable Label,NA - Reason didn't deliver at health facility: not necessary
M65G,0,No
M65G,1,Yes
M65H,Variable Label,NA - Reason didn't deliver at health facility: not customary
M65H,0,No
M65H,1,Yes
M65I,Variable Label,NA - Reason didn't deliver at health facility: CS
M65I,0,No
M65I,1,Yes
M65J,Variable Label,NA - Reason didn't deliver at health facility: CS
M65J,0,No
M65J,1,Yes
M65K,Variable Label,NA - Reason didn't deliver at health facility: CS
M65K,0,No
M65K,1,Yes
M65L,Variable Label,NA - Reason didn't deliver at health facility: CS
M65L,0,No
M65L,1,Yes
M65X,Variable Label,NA - Reason didn't deliver at health facility: other
M65X,0,No
M65X,1,Yes
M66,Variable Label,Respondent's health checked after discharge/delivery at home
M66,0,No
M66,1,Yes
M66,8,Don't know
M7,Variable Label,Months of amenorrhea
M7,97,Inconsistent
M7,98,Don't know
M70,Variable Label,Baby postnatal check within 2 months
M70,0,No
M70,1,Yes
M70,8,Don't know
M71,Variable Label,Time after delivery postnatal check took place
M71,100,Immediately/in first hour
M71,101,Hours: 1
M71,199,Hours: number missing
M71,201,Days: 1
M71,299,Days: number missing
M71,301,Weeks: 1
M71,399,Weeks: number missing
M71,998,Don't know
M72,Variable Label,Person who performed postnatal checkup
M72,11,Doctor
M72,12,"Nurse, midwife"
M72,13,Community health officer / nurse
M72,21,Traditional birth attendant
M72,22,Village health volunteer
M72,23,Traditional health practitioner
M72,96,Other
M73,Variable Label,Place baby was first checked
M73,11,Respondent's home
M73,12,Other home
M73,21,Government hospital
M73,22,Government health center / clnic
M73,23,Government health post / CHPS
M73,24,Mobile clinic
M73,26,Other public
M73,31,"Private hospital, clinic"
M73,32,FP/PPAG clinic
M73,33,Mobile clinic
M73,34,Maternity home
M73,36,Other private medical
M73,96,Other
M8,Variable Label,Duration of abstinence
M8,96,Still abstaining
M8,97,Inconsistent
M8,98,Don't know
M9,Variable Label,Months of abstinence
M9,97,Inconsistent
M9,98,Don't know
ME2,Variable Label,Received Measles-2
ME2,0,No
ME2,1,Vaccination date on card
ME2,2,Reported by mother
ME2,3,Vaccination marked on card
ME2,8,Don't know
ME2D,Variable Label,Measles-2 day
ME2D,97,Inconsistent
ME2D,98,Don't know
ME2M,Variable Label,Measles-2 month
ME2M,97,Inconsistent
ME2M,98,Don't know
ME2Y,Variable Label,Measles-2 year
ME2Y,9997,Inconsistent
ME2Y,9998,Don't know
MIDX,Variable Label,Index to Birth History
ML0,Variable Label,Type of mosquito bed net(s) child slept under last night
ML0,0,No net
ML0,1,Only treated nets
ML0,2,Both treated and untreated nets
ML0,3,Only untreated nets
ML1,Variable Label,Number of times took fansidar during pregnancy
ML1,98,Don't know
ML101,Variable Label,Type of mosquito bed net(s) slept under last night
ML101,0,No net
ML101,1,Only treated nets
ML101,2,Both treated and untreated nets
ML101,3,Only untreated nets
ML11,Variable Label,NA - Child has fever/cough now
ML11,0,No
ML11,1,"Yes, fever only"
ML11,2,"Yes, cough only"
ML11,3,Both fever and cough
ML11,8,Don't know
ML12,Variable Label,NA - Child has had convulsions in last 2 weeks
ML12,0,No
ML12,1,Yes
ML12,8,Don't know
ML13A,Variable Label,Fansidar taken for fever/cough
ML13A,0,No
ML13A,1,Yes
ML13B,Variable Label,Chloroquine taken for fever/cough
ML13B,0,No
ML13B,1,Yes
ML13C,Variable Label,NA - Amodiaquine taken for fever/cough
ML13C,0,No
ML13C,1,Yes
ML13D,Variable Label,Quinine taken for fever/cough
ML13D,0,No
ML13D,1,Yes
ML13E,Variable Label,Combination with artemisinin taken for fever/cough
ML13E,0,No
ML13E,1,Yes
ML13F,Variable Label,Artemisinin taken for fever/cough
ML13F,0,No
ML13F,1,Yes
ML13G,Variable Label,NA - CS cantimalarial taken for fever/cough
ML13G,0,No
ML13G,1,Yes
ML13H,Variable Label,Other antimalarial taken for fever/cough
ML13H,0,No
ML13H,1,Yes
ML13I,Variable Label,Antibiotic pill/syrup taken for fever/cough
ML13I,0,No
ML13I,1,Yes
ML13J,Variable Label,Antibiotic injection taken for fever/cough
ML13J,0,No
ML13J,1,Yes
ML13K,Variable Label,Aspirin taken for fever/cough
ML13K,0,No
ML13K,1,Yes
ML13L,Variable Label,NA - Acetaminophen/paracetamol/panadol taken for fever/cough
ML13L,0,No
ML13L,1,Yes
ML13M,Variable Label,Ibuprofen taken for fever/cough
ML13M,0,No
ML13M,1,Yes
ML13N,Variable Label,Paracetamol/panadol taken for fever/cough
ML13N,0,No
ML13N,1,Yes
ML13O,Variable Label,Hearbal medicine other taken for fever/cough
ML13O,0,No
ML13O,1,Yes
ML13P,Variable Label,NA - CS other taken for fever/cough
ML13P,0,No
ML13P,1,Yes
ML13X,Variable Label,Other taken for fever/cough
ML13X,0,No
ML13X,1,Yes
ML13Y,Variable Label,Nothing taken for fever/cough
ML13Y,0,No
ML13Y,1,"Yes, nothing taken"
ML13Z,Variable Label,Don't know if or what was taken for fever/cough
ML13Z,0,No
ML13Z,1,"Yes, don't know"
ML14A,Variable Label,NA - Injection given for fever/convulsion
ML14A,0,No
ML14A,1,Yes
ML14B,Variable Label,NA - Suppository given for fever/convulsion
ML14B,0,No
ML14B,1,Yes
ML14Y,Variable Label,NA - No suppository or injection given for fever/convulsion
ML14Y,0,No
ML14Y,1,Yes
ML14Z,Variable Label,NA - Don't know if suppository or injection given for fever/convulsion
ML14Z,0,No
ML14Z,1,Yes
ML15A,Variable Label,Timing of start of fansidar
ML15A,0,Same day as fever/cough
ML15A,1,Next day
ML15A,2,2 days after
ML15A,3,3 days after
ML15A,4,4+ days after
ML15A,8,Don't know
ML15B,Variable Label,NA - Number of days child took fansidar
ML15B,7,7+ days
ML15B,8,Don't know
ML15C,Variable Label,NA - First source for fansidar
ML15C,0,Other source
ML15C,1,At home
ML15C,8,Don't know
ML16A,Variable Label,Timing of start of chloroquine
ML16A,0,Same day as fever/cough
ML16A,1,Next day
ML16A,2,2 days after
ML16A,3,3 days after
ML16A,4,4+ days after
ML16A,8,Don't know
ML16B,Variable Label,NA - Number of days child took chloroquine
ML16B,7,7+ days
ML16B,8,Don't know
ML16C,Variable Label,NA - First source for chloroquine
ML16C,0,Other source
ML16C,1,At home
ML16C,8,Don't know
ML17A,Variable Label,Timing of start of amodiaquine
ML17A,0,Same day as fever/cough
ML17A,1,Next day
ML17A,2,2 days after
ML17A,3,3 days after
ML17A,4,4+ days after
ML17A,8,Don't know
ML17B,Variable Label,NA - Number of days child took amodiaquine
ML17B,7,7+ days
ML17B,8,Don't know
ML17C,Variable Label,NA - First source for amodiaquine
ML17C,0,Other source
ML17C,1,At home
ML17C,8,Don't know
ML18A,Variable Label,Timing of start of quinine
ML18A,0,Same day as fever/cough
ML18A,1,Next day
ML18A,2,2 days after
ML18A,3,3 days after
ML18A,4,4+ days after
ML18A,8,Don't know
ML18B,Variable Label,NA - Number of days child took quinine
ML18B,7,7+ days
ML18B,8,Don't know
ML18C,Variable Label,NA - First source for quinine
ML18C,0,Other source
ML18C,1,At home
ML18C,8,Don't know
ML19A,Variable Label,NA - For fever/convulsion: consulted traditional healer
ML19A,0,No
ML19A,1,Yes
ML19B,Variable Label,NA - For fever/convulsion: gave tepid sponging
ML19B,0,No
ML19B,1,Yes
ML19C,Variable Label,NA - For fever/convulsion: gave herbs
ML19C,0,No
ML19C,1,Yes
ML19D,Variable Label,NA - For fever/convulsion: CS
ML19D,0,No
ML19D,1,Yes
ML19E,Variable Label,NA - For fever/convulsion: CS
ML19E,0,No
ML19E,1,Yes
ML19F,Variable Label,NA - For fever/convulsion: CS
ML19F,0,No
ML19F,1,Yes
ML19X,Variable Label,NA - For fever/convulsion: other
ML19X,0,No
ML19X,1,Yes
ML19Y,Variable Label,NA - For fever/convulsion: gave/did nothing
ML19Y,0,No
ML19Y,1,Yes
ML19Z,Variable Label,NA - For fever/convulsion: don't know if something else was done
ML19Z,0,No
ML19Z,1,Yes
ML2,Variable Label,Source of antimalarial during pregnancy
ML2,1,Antenatal visit
ML2,2,Another facility visit
ML2,6,Other source
ML20A,Variable Label,Timing of start of combination with artemisinin
ML20A,0,Same day as fever/cough
ML20A,1,Next day
ML20A,2,2 days after
ML20A,3,3 days after
ML20A,4,4+ days after
ML20A,8,Don't know
ML20B,Variable Label,NA - Number of days child took combination with artemisinin
ML20B,7,7+ days
ML20B,8,Don't know
ML20C,Variable Label,NA - First source for combination with artemisinin
ML20C,0,Other source
ML20C,1,At home
ML20C,8,Don't know
ML21A,Variable Label,Timing of start of CS antimalarial use - Artemisinin alone
ML21A,0,Same day as fever/cough
ML21A,1,Next day
ML21A,2,2 days after
ML21A,3,3 days after
ML21A,4,4+ days after
ML21A,8,Don't know
ML21B,Variable Label,NA - Number of days child took CS antimalarial
ML21B,7,7+ days
ML21B,8,Don't know
ML21C,Variable Label,NA - First source for CS antimalarial
ML21C,0,Other source
ML21C,1,At home
ML21C,8,Don't know
ML22A,Variable Label,Timing of start of CS antimalarial use - Artemether-Lumefantrine
ML22A,0,Same day as fever/cough
ML22A,1,Next day
ML22A,2,2 days after
ML22A,3,3 days after
ML22A,4,4+ days after
ML22A,8,Don't know
ML22B,Variable Label,NA - Number of days child took CS antimalarial
ML22B,7,7+ days
ML22B,8,Don't know
ML22C,Variable Label,NA - First source for CS antimalarial
ML22C,0,Other source
ML22C,1,At home
ML22C,8,Don't know
ML23A,Variable Label,Timing of start of other anti-malarial use - other anti-malarial
ML23A,0,Same day as fever/cough
ML23A,1,Next day
ML23A,2,2 days after
ML23A,3,3 days after
ML23A,4,4+ days after
ML23A,8,Don't know
ML23B,Variable Label,NA - Number of days child took other anti-malarial
ML23B,7,7+ days
ML23B,8,Don't know
ML23C,Variable Label,NA - First source for other anti-malarial
ML23C,0,Other source
ML23C,1,At home
ML23C,8,Don't know
ML24C,Variable Label,NA - First source for antibiotic pill/syrup
ML24C,0,Other source
ML24C,1,At home
ML24C,8,Don't know
PN1,Variable Label,Received Pneumococcal-1
PN1,0,No
PN1,1,Vaccination date on card
PN1,2,Reported by mother
PN1,3,Vaccination marked on card
PN1,8,Don't know
PN1D,Variable Label,Pneumococcal-1 day
PN1D,97,Inconsistent
PN1D,98,Don't know
PN1M,Variable Label,Pneumococcal-1  month
PN1M,97,Inconsistent
PN1M,98,Don't know
PN1Y,Variable Label,Pneumococcal-1  year
PN1Y,9997,Inconsistent
PN1Y,9998,Don't know
PN2,Variable Label,Received Pneumococcal-2
PN2,0,No
PN2,1,Vaccination date on card
PN2,2,Reported by mother
PN2,3,Vaccination marked on card
PN2,8,Don't know
PN2D,Variable Label,Pneumococcal-2 day
PN2D,97,Inconsistent
PN2D,98,Don't know
PN2M,Variable Label,Pneumococcal-2  month
PN2M,97,Inconsistent
PN2M,98,Don't know
PN2Y,Variable Label,Pneumococcal-2  year
PN2Y,9997,Inconsistent
PN2Y,9998,Don't know
PN3,Variable Label,Received Pneumococcal-3
PN3,0,No
PN3,1,Vaccination date on card
PN3,2,Reported by mother
PN3,3,Vaccination marked on card
PN3,8,Don't know
PN3D,Variable Label,Pneumococcal-3 day
PN3D,97,Inconsistent
PN3D,98,Don't know
PN3M,Variable Label,Pneumococcal-3  month
PN3M,97,Inconsistent
PN3M,98,Don't know
PN3Y,Variable Label,Pneumococcal-3  year
PN3Y,9997,Inconsistent
PN3Y,9998,Don't know
R1,Variable Label,Received Rotavirus-1
R1,0,No
R1,1,Vaccination date on card
R1,2,Reported by mother
R1,3,Vaccination marked on card
R1,8,Don't know
R1D,Variable Label,Rotavirus-1 day
R1D,97,Inconsistent
R1D,98,Don't know
R1M,Variable Label,Rotavirus-1 month
R1M,97,Inconsistent
R1M,98,Don't know
R1Y,Variable Label,Rotavirus-1 year
R1Y,9997,Inconsistent
R1Y,9998,Don't know
R2,Variable Label,Received Rotavirus-2
R2,0,No
R2,1,Vaccination date on card
R2,2,Reported by mother
R2,3,Vaccination marked on card
R2,8,Don't know
R2D,Variable Label,Rotavirus-2 day
R2D,97,Inconsistent
R2D,98,Don't know
R2M,Variable Label,Rotavirus-2 month
R2M,97,Inconsistent
R2M,98,Don't know
R2Y,Variable Label,Rotavirus-2 year
R2Y,9997,Inconsistent
R2Y,9998,Don't know
S1009A,Variable Label,Registered with National Health Insurance Scheme
S1009A,0,No
S1009A,1,Yes
S1010A,Variable Label,Type of insurance: National/District Health Insurance(NHIS)
S1010A,0,No
S1010A,1,Yes
S1010B,Variable Label,Type of insurance: health insurance through employer
S1010B,0,No
S1010B,1,Yes
S1010C,Variable Label,Type of insurance: mutual health organization/community-based health insurance
S1010C,0,No
S1010C,1,Yes
S1010D,Variable Label,Type of insurance: other privately purchased commercial health insurance
S1010D,0,No
S1010D,1,Yes
S1010E,Variable Label,Type of insurance: other
S1010E,0,No
S1010E,1,Yes
S1011A,Variable Label,Insurance covers antenatal health care
S1011A,0,No
S1011A,1,Yes
S1011A,8,Don't know
S1011B,Variable Label,Insurance covers childbirth
S1011B,0,No
S1011B,1,Yes
S1011B,8,Don't know
S1011C,Variable Label,Insurance covers PNC mother
S1011C,0,No
S1011C,1,Yes
S1011C,8,Don't know
S1011D,Variable Label,Insurance covers PNC child
S1011D,0,No
S1011D,1,Yes
S1011D,8,Don't know
S1011E,Variable Label,Insurance covers cash benefits
S1011E,0,No
S1011E,1,Yes
S1011E,8,Don't know
S1011F,Variable Label,Insurance covers other
S1011F,0,No
S1011F,1,Yes
S1011F,8,Don't know
S1013A,Variable Label,Why not registered with National/District Health Insurance(NHIS): not heard of NHIS
S1013A,0,No
S1013A,1,Yes
S1013B,Variable Label,Why not registered with NHIS: cannot afford premium
S1013B,0,No
S1013B,1,Yes
S1013C,Variable Label,Why not registered with NHIS: do not trust
S1013C,0,No
S1013C,1,Yes
S1013D,Variable Label,Why not registered with NHIS: don't need health insurance
S1013D,0,No
S1013D,1,Yes
S1013E,Variable Label,Why not registered with NHIS: NHIS doesn't cover health serivces I need
S1013E,0,No
S1013E,1,Yes
S1013F,Variable Label,Why not registered with NHIS: don't understand scheme
S1013F,0,No
S1013F,1,Yes
S1013G,Variable Label,Why not registered with NHIS: don't know where to register
S1013G,0,No
S1013G,1,Yes
S1013H,Variable Label,Why not registered with NHIS: no easy access to a health facility
S1013H,0,No
S1013H,1,Yes
S1013I,Variable Label,Why not registered with NHIS: do not like the attitude of staff in a health facility
S1013I,0,No
S1013I,1,Yes
S1013J,Variable Label,Why not registered with NHIS: those with insurance are given substandard services and medicine
S1013J,0,No
S1013J,1,Yes
S1013K,Variable Label,Why not registered with NHIS: the queue for registration was too long
S1013K,0,No
S1013K,1,Yes
S1013X,Variable Label,Why not registered with NHIS: other
S1013X,0,No
S1013X,1,Yes
S1014,Variable Label,Pay NHIS membership
S1014,1,"Yes, paid myself"
S1014,2,"Yes, paid by a relative / friend"
S1014,3,"Yes, paid by employer/ssnit"
S1014,4,"No, exempt as elderly"
S1014,5,"No, exempt as pensioner"
S1014,6,"No, other"
S1014,7,"No, exempt as indigent"
S1014,8,"No, exempt as pregnant"
S1015,Variable Label,Hold a valid NHIS card
S1015,0,No
S1015,1,"Yes, card seen"
S1015,2,"Yes, card not seen"
S1016,Variable Label,Why not have a valid NHIS card
S1016,1,"Registered, not paid fully"
S1016,2,"Registered, card not received"
S1016,3,"Registered, waiting period"
S1016,4,Not renewed registration
S1016,5,Lost NHIS card
S1016,6,Other
S1017,Variable Label,How many weeks did it take to obtain NHIS card
S1017,95,95+ weeks
S1017,98,Don't know
S1018,Variable Label,Plan to renew NHIS card
S1018,0,No
S1018,1,Yes
S1018,8,Don't know / not sure
S1019A,Variable Label,Why not want to renew NHIS card: have not been sick
S1019A,0,No
S1019A,1,Yes
S1019A,8,Don't know
S1019B,Variable Label,Why not want to renew NHIS card: premium experience
S1019B,0,No
S1019B,1,Yes
S1019B,8,Don't know
S1019C,Variable Label,Why not want to renew NHIS card: still pay out of pocket
S1019C,0,No
S1019C,1,Yes
S1019C,8,Don't know
S1019D,Variable Label,Why not want to renew NHIS card: poor quality care with card
S1019D,0,No
S1019D,1,Yes
S1019D,8,Don't know
S1019E,Variable Label,Why not want to renew NHIS card: waiting time for card long
S1019E,0,No
S1019E,1,Yes
S1019E,8,Don't know
S1019F,Variable Label,Why not want to renew NHIS card: used services not covered
S1019F,0,No
S1019F,1,Yes
S1019F,8,Don't know
S1019G,Variable Label,Why not want to renew NHIS card: did not use any health services
S1019G,0,No
S1019G,1,Yes
S1019G,8,Don't know
S1019H,Variable Label,Why not want to renew NHIS card: use clinics or traditional practitioners who are not covered
S1019H,0,No
S1019H,1,Yes
S1019H,8,Don't know
S1019X,Variable Label,Why not want to renew NHIS card: other
S1019X,0,No
S1019X,1,Yes
S1019X,8,Don't know
S101A,Variable Label,Agree on blood pressure measurement
S101A,1,Respondent agrees
S101A,2,Respondent disagrees
S101B1,Variable Label,Eaten in the past 10 minutes
S101B1,0,No
S101B1,1,Yes
S101B2,Variable Label,Had caffeine in the past 10 minutes
S101B2,0,No
S101B2,1,Yes
S101B3,Variable Label,Smoked in the past 10 minutes
S101B3,0,No
S101B3,1,Yes
S101B4,Variable Label,Exercised in the past 10 minutes
S101B4,0,No
S101B4,1,Yes
S101C,Variable Label,Arm circumference
S101C,95,95+
S101D,Variable Label,Blood pressure monitor model and cuff size
S101D,1,"Model 767, Small: 16 CM - 23 CM"
S101D,2,"Model 767, Medium: 24 CM - 35 CM"
S101D,3,"Model767, Large: 36 CM - 41 CM"
S101D,4,"Model 789, Large: 42 CM - 60 CM"
S101E1,Variable Label,First blood pressure measurement: Systolic
S101E1,0,Special answer
S101E2,Variable Label,First blood pressure measurement: Diastolic
S101E3,Variable Label,Reason not measured
S101E3,994,Refused
S101E3,995,Technical problems
S101E3,996,Other
S1020,Variable Label,Pay out of pocket for drugs and services
S1020,0,No
S1020,1,Yes
S1020,8,Don't know / not sure
S1021,Variable Label,Whether service not covered by NHIS
S1021,0,No
S1021,1,Yes
S1021,8,Don't know / not sure
S1022A,Variable Label,Service needed that is not covered by NHIS: family planning
S1022A,0,No
S1022A,1,Yes
S1022A,8,Don't know
S1022B,Variable Label,Service needed that is not covered by NHIS: laboratory investigations
S1022B,0,No
S1022B,1,Yes
S1022B,8,Don't know
S1022C,Variable Label,Service needed that is not covered by NHIS: antenatal care
S1022C,0,No
S1022C,1,Yes
S1022C,8,Don't know
S1022D,Variable Label,Service needed that is not covered by NHIS: postnatal care
S1022D,0,No
S1022D,1,Yes
S1022D,8,Don't know
S1022E,Variable Label,Service needed that is not covered by NHIS: care for newborn for up to 3 months
S1022E,0,No
S1022E,1,Yes
S1022E,8,Don't know
S1022X,Variable Label,Service needed that is not covered by NHIS: other
S1022X,0,No
S1022X,1,Yes
S1022X,8,Don't know
S1023,Variable Label,Quality of service by holding NHIS card
S1023,1,Better
S1023,2,Same
S1023,3,Worse
S1023,8,Don't know / not sure
S1024,Variable Label,Received good service last time
S1024,1,Yes
S1024,2,"No, waiting times too long"
S1024,3,"No, staff not polite"
S1024,4,"No, did not receive enough information about illness and treatment"
S1024,6,Other
S1025,Variable Label,Program helping pregnant women accessing health services
S1025,0,No
S1025,1,Yes
S1026A,Variable Label,Program helping pregnant women for health services: free NHIS premium for pregnant women
S1026A,0,No
S1026A,1,Yes
S1026X,Variable Label,Program helping pregnant women for health services: other
S1026X,0,No
S1026X,1,Yes
S1027,Variable Label,Program helping children under age 18 accessing health services
S1027,0,No
S1027,1,Yes
S1028A,Variable Label,Program helping children under age 18 for health services: free NHIS premium for children under age 18
S1028A,0,No
S1028A,1,Yes
S1028X,Variable Label,Program helping children under age 18  for health services: other
S1028X,0,No
S1028X,1,Yes
S1033,Variable Label,Ever been told as having hypertension or high blood pressure
S1033,0,No
S1033,1,Yes
S1033,8,Don't know
S1034,Variable Label,Was told on 2+ occasions that she has hypertension
S1034,0,No
S1034,1,Yes
S1034,8,Don't know
S1035A,Variable Label,"To lower blood pressure, take medicine"
S1035A,0,No
S1035A,1,Yes
S1035A,3,N/A
S1035B,Variable Label,"To lower blood pressure, control weight"
S1035B,0,No
S1035B,1,Yes
S1035B,3,N/A
